id,time,value
1,2023:06:23 05:19:59,703.6
2,2023:06:23 05:19:59,96.9
3,2023:06:23 05:19:59,214.7
1,2023:06:23 05:20:59,254.4
2,2023:06:23 05:20:59,596.6
3,2023:06:23 05:20:59,765.6
1,2023:06:23 05:21:59,433.2
2,2023:06:23 05:21:59,123.3
3,2023:06:23 05:21:59,824.8
1,2023:06:23 05:22:59,351.6
2,2023:06:23 05:22:59,537.4
3,2023:06:23 05:22:59,202.6
1,2023:06:23 05:23:59,476.3
2,2023:06:23 05:23:59,536.1
3,2023:06:23 05:23:59,146.5
1,2023:06:23 05:24:59,146.5
2,2023:06:23 05:24:59,551.0
3,2023:06:23 05:24:59,929.5
1,2023:06:23 05:25:59,100.3
2,2023:06:23 05:25:59,924.8
3,2023:06:23 05:25:59,174.5
1,2023:06:23 05:26:59,553.9
2,2023:06:23 05:26:59,635.0
3,2023:06:23 05:26:59,418.7
1,2023:06:23 05:27:59,431.0
2,2023:06:23 05:27:59,469.4
3,2023:06:23 05:27:59,131.7
1,2023:06:23 05:28:59,302.7
2,2023:06:23 05:28:59,347.3
3,2023:06:23 05:28:59,948.3
1,2023:06:23 05:29:59,217.3
2,2023:06:23 05:29:59,863.4
3,2023:06:23 05:29:59,57.3
1,2023:06:23 05:30:59,104.4
2,2023:06:23 05:30:59,502.1
3,2023:06:23 05:30:59,916.1
1,2023:06:23 05:31:59,680.6
2,2023:06:23 05:31:59,384.2
3,2023:06:23 05:31:59,731.0
1,2023:06:23 05:32:59,471.8
2,2023:06:23 05:32:59,944.6
3,2023:06:23 05:32:59,825.0
1,2023:06:23 05:33:59,634.3
2,2023:06:23 05:33:59,313.0
3,2023:06:23 05:33:59,81.7
1,2023:06:23 05:34:59,487.5
2,2023:06:23 05:34:59,255.3
3,2023:06:23 05:34:59,134.5
1,2023:06:23 05:35:59,34.2
2,2023:06:23 05:35:59,967.6
3,2023:06:23 05:35:59,38.7
1,2023:06:23 05:36:59,403.6
2,2023:06:23 05:36:59,495.6
3,2023:06:23 05:36:59,395.8
1,2023:06:23 05:37:59,459.3
2,2023:06:23 05:37:59,598.8
3,2023:06:23 05:37:59,822.6
1,2023:06:23 05:38:59,827.7
2,2023:06:23 05:38:59,473.5
3,2023:06:23 05:38:59,980.2
1,2023:06:23 05:39:59,346.3
2,2023:06:23 05:39:59,434.6
3,2023:06:23 05:39:59,574.0
1,2023:06:23 05:40:59,550.5
2,2023:06:23 05:40:59,115.7
3,2023:06:23 05:40:59,398.1
1,2023:06:23 05:41:59,729.4
2,2023:06:23 05:41:59,361.3
3,2023:06:23 05:41:59,603.6
1,2023:06:23 05:42:59,917.4
2,2023:06:23 05:42:59,990.1
3,2023:06:23 05:42:59,821.1
1,2023:06:23 05:43:59,407.3
2,2023:06:23 05:43:59,232.5
3,2023:06:23 05:43:59,40.4
1,2023:06:23 05:44:59,161.9
2,2023:06:23 05:44:59,474.0
3,2023:06:23 05:44:59,72.4
1,2023:06:23 05:45:59,480.8
2,2023:06:23 05:45:59,719.8
3,2023:06:23 05:45:59,883.3
1,2023:06:23 05:46:59,433.3
2,2023:06:23 05:46:59,118.5
3,2023:06:23 05:46:59,187.0
1,2023:06:23 05:47:59,717.3
2,2023:06:23 05:47:59,92.3
3,2023:06:23 05:47:59,49.7
1,2023:06:23 05:48:59,490.3
2,2023:06:23 05:48:59,50.4
3,2023:06:23 05:48:59,765.2
1,2023:06:23 05:49:59,814.1
2,2023:06:23 05:49:59,452.3
3,2023:06:23 05:49:59,588.4
1,2023:06:23 05:50:59,310.9
2,2023:06:23 05:50:59,402.8
3,2023:06:23 05:50:59,893.2
1,2023:06:23 05:51:59,990.4
2,2023:06:23 05:51:59,893.5
3,2023:06:23 05:51:59,401.0
1,2023:06:23 05:52:59,327.6
2,2023:06:23 05:52:59,403.0
3,2023:06:23 05:52:59,503.3
1,2023:06:23 05:53:59,46.6
2,2023:06:23 05:53:59,912.9
3,2023:06:23 05:53:59,238.6
1,2023:06:23 05:54:59,747.2
2,2023:06:23 05:54:59,486.5
3,2023:06:23 05:54:59,807.0
1,2023:06:23 05:55:59,729.5
2,2023:06:23 05:55:59,311.8
3,2023:06:23 05:55:59,10.7
1,2023:06:23 05:56:59,589.3
2,2023:06:23 05:56:59,288.0
3,2023:06:23 05:56:59,7.3
1,2023:06:23 05:57:59,546.9
2,2023:06:23 05:57:59,903.3
3,2023:06:23 05:57:59,205.2
1,2023:06:23 05:58:59,797.2
2,2023:06:23 05:58:59,195.5
3,2023:06:23 05:58:59,975.4
1,2023:06:23 05:59:59,718.2
2,2023:06:23 05:59:59,720.5
3,2023:06:23 05:59:59,87.4
1,2023:06:23 06:00:59,167.6
2,2023:06:23 06:00:59,978.0
3,2023:06:23 06:00:59,113.8
1,2023:06:23 06:01:59,344.7
