id,time,value
1,2023:07:04 18:09:39,56.9
2,2023:07:04 18:09:39,120.4
3,2023:07:04 18:09:39,90.9
4,2023:07:04 18:09:39,778.8
5,2023:07:04 18:09:39,127.9
6,2023:07:04 18:09:39,598.6
7,2023:07:04 18:09:39,58.4
8,2023:07:04 18:09:39,105.4
9,2023:07:04 18:09:39,58.8
10,2023:07:04 18:09:39,688.2
1,2023:07:04 18:24:39,56.6
2,2023:07:04 18:24:39,814.3
3,2023:07:04 18:24:39,74.7
4,2023:07:04 18:24:39,752.0
5,2023:07:04 18:24:39,90.0
6,2023:07:04 18:24:39,113.9
7,2023:07:04 18:24:39,107.0
8,2023:07:04 18:24:39,991.0
9,2023:07:04 18:24:39,157.9
10,2023:07:04 18:24:39,595.9
1,2023:07:04 18:39:39,3.3
2,2023:07:04 18:39:39,151.0
3,2023:07:04 18:39:39,980.5
4,2023:07:04 18:39:39,85.6
5,2023:07:04 18:39:39,74.4
6,2023:07:04 18:39:39,609.1
7,2023:07:04 18:39:39,21.0
8,2023:07:04 18:39:39,95.9
9,2023:07:04 18:39:39,137.7
10,2023:07:04 18:39:39,643.9
1,2023:07:04 18:54:39,914.6
2,2023:07:04 18:54:39,826.1
3,2023:07:04 18:54:39,114.1
4,2023:07:04 18:54:39,218.3
5,2023:07:04 18:54:39,735.4
6,2023:07:04 18:54:39,101.7
7,2023:07:04 18:54:39,114.4
8,2023:07:04 18:54:39,20.3
9,2023:07:04 18:54:39,119.1
10,2023:07:04 18:54:39,24.5
1,2023:07:04 19:09:39,858.4
2,2023:07:04 19:09:39,191.3
3,2023:07:04 19:09:39,136.2
4,2023:07:04 19:09:39,750.5
5,2023:07:04 19:09:39,859.0
6,2023:07:04 19:09:39,863.5
7,2023:07:04 19:09:39,735.4
8,2023:07:04 19:09:39,814.9
9,2023:07:04 19:09:39,674.7
10,2023:07:04 19:09:39,140.1
1,2023:07:04 19:24:39,763.3
2,2023:07:04 19:24:39,112.8
3,2023:07:04 19:24:39,118.6
4,2023:07:04 19:24:39,138.1
5,2023:07:04 19:24:39,101.7
6,2023:07:04 19:24:39,2.1
7,2023:07:04 19:24:39,780.6
8,2023:07:04 19:24:39,885.5
9,2023:07:04 19:24:39,744.2
10,2023:07:04 19:24:39,994.9
1,2023:07:04 19:39:39,17.6
2,2023:07:04 19:39:39,110.9
3,2023:07:04 19:39:39,744.7
4,2023:07:04 19:39:39,119.6
5,2023:07:04 19:39:39,92.2
6,2023:07:04 19:39:39,628.3
7,2023:07:04 19:39:39,5.5
8,2023:07:04 19:39:39,3.4
9,2023:07:04 19:39:39,925.7
10,2023:07:04 19:39:39,3.0
1,2023:07:04 19:54:39,138.2
2,2023:07:04 19:54:39,142.7
3,2023:07:04 19:54:39,929.2
4,2023:07:04 19:54:39,1.0
5,2023:07:04 19:54:39,2.9
6,2023:07:04 19:54:39,125.7
7,2023:07:04 19:54:39,67.1
8,2023:07:04 19:54:39,3.8
9,2023:07:04 19:54:39,84.4
10,2023:07:04 19:54:39,818.2
1,2023:07:04 20:09:39,69.7
2,2023:07:04 20:09:39,105.7
3,2023:07:04 20:09:39,95.4
4,2023:07:04 20:09:39,823.1
5,2023:07:04 20:09:39,145.1
6,2023:07:04 20:09:39,985.3
7,2023:07:04 20:09:39,613.7
8,2023:07:04 20:09:39,303.9
9,2023:07:04 20:09:39,593.0
10,2023:07:04 20:09:39,982.2
1,2023:07:04 20:24:39,601.1
2,2023:07:04 20:24:39,133.3
3,2023:07:04 20:24:39,32.4
4,2023:07:04 20:24:39,114.4
5,2023:07:04 20:24:39,80.5
6,2023:07:04 20:24:39,46.2
7,2023:07:04 20:24:39,108.2
8,2023:07:04 20:24:39,70.3
9,2023:07:04 20:24:39,573.7
10,2023:07:04 20:24:39,763.2
1,2023:07:04 20:39:39,3.2
2,2023:07:04 20:39:39,980.7
3,2023:07:04 20:39:39,919.4
4,2023:07:04 20:39:39,145.3
5,2023:07:04 20:39:39,340.9
6,2023:07:04 20:39:39,679.6
7,2023:07:04 20:39:39,4.2
8,2023:07:04 20:39:39,781.5
9,2023:07:04 20:39:39,561.5
10,2023:07:04 20:39:39,62.2
1,2023:07:04 20:54:39,664.3
2,2023:07:04 20:54:39,142.9
3,2023:07:04 20:54:39,937.4
4,2023:07:04 20:54:39,582.8
5,2023:07:04 20:54:39,982.4
6,2023:07:04 20:54:39,89.7
7,2023:07:04 20:54:39,664.0
8,2023:07:04 20:54:39,60.0
9,2023:07:04 20:54:39,236.3
10,2023:07:04 20:54:39,123.3
1,2023:07:04 21:09:39,963.5
2,2023:07:04 21:09:39,104.9
3,2023:07:04 21:09:39,188.3
4,2023:07:04 21:09:39,142.8
5,2023:07:04 21:09:39,90.8
6,2023:07:04 21:09:39,3.9
7,2023:07:04 21:09:39,104.1
8,2023:07:04 21:09:39,837.9
9,2023:07:04 21:09:39,108.5
10,2023:07:04 21:09:39,612.4
1,2023:07:04 21:24:39,125.6
2,2023:07:04 21:24:39,662.4
3,2023:07:04 21:24:39,13.0
4,2023:07:04 21:24:39,233.1
5,2023:07:04 21:24:39,5.0
6,2023:07:04 21:24:39,270.7
7,2023:07:04 21:24:39,140.0
8,2023:07:04 21:24:39,70.3
9,2023:07:04 21:24:39,567.3
10,2023:07:04 21:24:39,73.7
1,2023:07:04 21:39:39,4.6
2,2023:07:04 21:39:39,128.5
3,2023:07:04 21:39:39,877.8
4,2023:07:04 21:39:39,284.6
5,2023:07:04 21:39:39,3.7
6,2023:07:04 21:39:39,109.0
7,2023:07:04 21:39:39,144.1
8,2023:07:04 21:39:39,838.1
9,2023:07:04 21:39:39,764.9
10,2023:07:04 21:39:39,132.8
1,2023:07:04 21:54:39,300.7
2,2023:07:04 21:54:39,110.3
3,2023:07:04 21:54:39,149.9
4,2023:07:04 21:54:39,671.4
5,2023:07:04 21:54:39,492.3
6,2023:07:04 21:54:39,2.9
7,2023:07:04 21:54:39,784.5
8,2023:07:04 21:54:39,100.6
9,2023:07:04 21:54:39,579.4
10,2023:07:04 21:54:39,577.6
1,2023:07:04 22:09:39,148.3
2,2023:07:04 22:09:39,3.3
3,2023:07:04 22:09:39,841.6
4,2023:07:04 22:09:39,782.6
5,2023:07:04 22:09:39,553.3
6,2023:07:04 22:09:39,840.0
7,2023:07:04 22:09:39,4.2
8,2023:07:04 22:09:39,434.8
9,2023:07:04 22:09:39,135.1
10,2023:07:04 22:09:39,2.3
1,2023:07:04 22:24:39,128.3
2,2023:07:04 22:24:39,94.6
3,2023:07:04 22:24:39,128.6
4,2023:07:04 22:24:39,146.3
5,2023:07:04 22:24:39,132.5
6,2023:07:04 22:24:39,729.2
7,2023:07:04 22:24:39,576.4
8,2023:07:04 22:24:39,638.9
9,2023:07:04 22:24:39,120.5
10,2023:07:04 22:24:39,4.3
1,2023:07:04 22:39:39,66.8
2,2023:07:04 22:39:39,0.5
3,2023:07:04 22:39:39,142.7
4,2023:07:04 22:39:39,91.6
5,2023:07:04 22:39:39,557.7
6,2023:07:04 22:39:39,660.1
7,2023:07:04 22:39:39,142.8
8,2023:07:04 22:39:39,1.9
9,2023:07:04 22:39:39,109.3
10,2023:07:04 22:39:39,79.6
1,2023:07:04 22:54:39,925.8
2,2023:07:04 22:54:39,312.5
3,2023:07:04 22:54:39,118.2
4,2023:07:04 22:54:39,584.9
5,2023:07:04 22:54:39,629.7
6,2023:07:04 22:54:39,26.7
7,2023:07:04 22:54:39,31.9
8,2023:07:04 22:54:39,71.5
9,2023:07:04 22:54:39,846.7
10,2023:07:04 22:54:39,400.5
1,2023:07:04 23:09:39,143.0
2,2023:07:04 23:09:39,117.5
3,2023:07:04 23:09:39,663.7
4,2023:07:04 23:09:39,579.9
5,2023:07:04 23:09:39,68.4
6,2023:07:04 23:09:39,703.8
7,2023:07:04 23:09:39,572.2
8,2023:07:04 23:09:39,707.6
9,2023:07:04 23:09:39,323.4
10,2023:07:04 23:09:39,639.3
1,2023:07:04 23:24:39,30.6
2,2023:07:04 23:24:39,72.8
3,2023:07:04 23:24:39,148.4
4,2023:07:04 23:24:39,952.6
5,2023:07:04 23:24:39,86.8
6,2023:07:04 23:24:39,125.6
7,2023:07:04 23:24:39,1.8
8,2023:07:04 23:24:39,4.7
9,2023:07:04 23:24:39,76.2
10,2023:07:04 23:24:39,1.4
1,2023:07:04 23:39:39,58.7
2,2023:07:04 23:39:39,0.9
3,2023:07:04 23:39:39,50.8
4,2023:07:04 23:39:39,661.9
5,2023:07:04 23:39:39,3.1
6,2023:07:04 23:39:39,622.9
7,2023:07:04 23:39:39,116.3
8,2023:07:04 23:39:39,143.0
9,2023:07:04 23:39:39,71.3
10,2023:07:04 23:39:39,413.4
1,2023:07:04 23:54:39,174.5
2,2023:07:04 23:54:39,789.7
3,2023:07:04 23:54:39,2.2
4,2023:07:04 23:54:39,4.7
5,2023:07:04 23:54:39,20.4
6,2023:07:04 23:54:39,111.8
7,2023:07:04 23:54:39,16.5
8,2023:07:04 23:54:39,623.9
9,2023:07:04 23:54:39,37.4
10,2023:07:04 23:54:39,740.5
1,2023:07:05 00:09:39,464.6
2,2023:07:05 00:09:39,126.2
3,2023:07:05 00:09:39,6.1
4,2023:07:05 00:09:39,438.7
5,2023:07:05 00:09:39,597.4
6,2023:07:05 00:09:39,703.9
7,2023:07:05 00:09:39,91.7
8,2023:07:05 00:09:39,786.2
9,2023:07:05 00:09:39,415.4
10,2023:07:05 00:09:39,119.4
1,2023:07:05 00:24:39,774.4
2,2023:07:05 00:24:39,9.4
3,2023:07:05 00:24:39,858.9
4,2023:07:05 00:24:39,58.9
5,2023:07:05 00:24:39,704.3
6,2023:07:05 00:24:39,658.8
7,2023:07:05 00:24:39,192.9
8,2023:07:05 00:24:39,86.9
9,2023:07:05 00:24:39,64.0
10,2023:07:05 00:24:39,89.3
1,2023:07:05 00:39:39,318.1
2,2023:07:05 00:39:39,262.4
3,2023:07:05 00:39:39,263.5
4,2023:07:05 00:39:39,699.9
5,2023:07:05 00:39:39,66.1
6,2023:07:05 00:39:39,74.4
7,2023:07:05 00:39:39,798.0
8,2023:07:05 00:39:39,32.7
9,2023:07:05 00:39:39,169.5
10,2023:07:05 00:39:39,4.0
1,2023:07:05 00:54:39,18.4
2,2023:07:05 00:54:39,85.9
3,2023:07:05 00:54:39,141.5
4,2023:07:05 00:54:39,998.4
5,2023:07:05 00:54:39,116.2
6,2023:07:05 00:54:39,688.9
7,2023:07:05 00:54:39,844.0
8,2023:07:05 00:54:39,851.3
9,2023:07:05 00:54:39,22.1
10,2023:07:05 00:54:39,944.8
1,2023:07:05 01:09:39,35.6
2,2023:07:05 01:09:39,737.1
3,2023:07:05 01:09:39,824.9
4,2023:07:05 01:09:39,926.4
5,2023:07:05 01:09:39,2.9
6,2023:07:05 01:09:39,631.7
7,2023:07:05 01:09:39,67.1
8,2023:07:05 01:09:39,617.2
9,2023:07:05 01:09:39,3.9
10,2023:07:05 01:09:39,695.9
1,2023:07:05 01:24:39,2.4
2,2023:07:05 01:24:39,865.8
3,2023:07:05 01:24:39,33.1
4,2023:07:05 01:24:39,751.0
5,2023:07:05 01:24:39,744.2
6,2023:07:05 01:24:39,443.2
7,2023:07:05 01:24:39,85.1
8,2023:07:05 01:24:39,17.5
9,2023:07:05 01:24:39,4.1
10,2023:07:05 01:24:39,582.0
1,2023:07:05 01:39:39,967.6
2,2023:07:05 01:39:39,1.1
3,2023:07:05 01:39:39,350.0
4,2023:07:05 01:39:39,634.3
5,2023:07:05 01:39:39,77.4
6,2023:07:05 01:39:39,16.5
7,2023:07:05 01:39:39,667.4
8,2023:07:05 01:39:39,112.5
9,2023:07:05 01:39:39,2.5
10,2023:07:05 01:39:39,125.6
1,2023:07:05 01:54:39,72.0
2,2023:07:05 01:54:39,132.0
3,2023:07:05 01:54:39,1.7
4,2023:07:05 01:54:39,3.2
5,2023:07:05 01:54:39,79.2
6,2023:07:05 01:54:39,698.2
7,2023:07:05 01:54:39,354.9
8,2023:07:05 01:54:39,340.8
9,2023:07:05 01:54:39,588.2
10,2023:07:05 01:54:39,127.8
1,2023:07:05 02:09:39,105.2
2,2023:07:05 02:09:39,837.3
3,2023:07:05 02:09:39,913.0
4,2023:07:05 02:09:39,115.3
5,2023:07:05 02:09:39,711.3
6,2023:07:05 02:09:39,203.9
7,2023:07:05 02:09:39,62.9
8,2023:07:05 02:09:39,736.3
9,2023:07:05 02:09:39,101.6
10,2023:07:05 02:09:39,145.7
1,2023:07:05 02:24:39,106.6
2,2023:07:05 02:24:39,894.2
3,2023:07:05 02:24:39,894.1
4,2023:07:05 02:24:39,258.0
5,2023:07:05 02:24:39,149.6
6,2023:07:05 02:24:39,3.9
7,2023:07:05 02:24:39,102.1
8,2023:07:05 02:24:39,87.9
9,2023:07:05 02:24:39,328.4
10,2023:07:05 02:24:39,716.8
1,2023:07:05 02:39:39,245.6
2,2023:07:05 02:39:39,732.9
3,2023:07:05 02:39:39,819.3
4,2023:07:05 02:39:39,135.3
5,2023:07:05 02:39:39,92.8
6,2023:07:05 02:39:39,56.9
7,2023:07:05 02:39:39,133.9
8,2023:07:05 02:39:39,99.0
9,2023:07:05 02:39:39,596.2
10,2023:07:05 02:39:39,804.3
1,2023:07:05 02:54:39,859.6
2,2023:07:05 02:54:39,761.1
3,2023:07:05 02:54:39,106.0
4,2023:07:05 02:54:39,118.4
5,2023:07:05 02:54:39,154.3
6,2023:07:05 02:54:39,596.9
7,2023:07:05 02:54:39,61.4
8,2023:07:05 02:54:39,107.4
9,2023:07:05 02:54:39,641.6
10,2023:07:05 02:54:39,150.5
1,2023:07:05 03:09:39,29.3
2,2023:07:05 03:09:39,905.7
3,2023:07:05 03:09:39,4.4
4,2023:07:05 03:09:39,889.6
5,2023:07:05 03:09:39,131.7
6,2023:07:05 03:09:39,0.6
7,2023:07:05 03:09:39,1.9
8,2023:07:05 03:09:39,199.0
9,2023:07:05 03:09:39,2.0
10,2023:07:05 03:09:39,125.1
1,2023:07:05 03:24:39,39.6
2,2023:07:05 03:24:39,793.8
3,2023:07:05 03:24:39,1.7
4,2023:07:05 03:24:39,887.5
5,2023:07:05 03:24:39,566.1
6,2023:07:05 03:24:39,827.9
7,2023:07:05 03:24:39,4.6
8,2023:07:05 03:24:39,81.5
9,2023:07:05 03:24:39,40.4
10,2023:07:05 03:24:39,101.4
1,2023:07:05 03:39:39,584.1
2,2023:07:05 03:39:39,65.7
3,2023:07:05 03:39:39,807.0
4,2023:07:05 03:39:39,334.6
5,2023:07:05 03:39:39,983.0
6,2023:07:05 03:39:39,7.6
7,2023:07:05 03:39:39,122.5
8,2023:07:05 03:39:39,523.9
9,2023:07:05 03:39:39,11.0
10,2023:07:05 03:39:39,63.5
1,2023:07:05 03:54:39,707.4
2,2023:07:05 03:54:39,857.9
3,2023:07:05 03:54:39,75.0
4,2023:07:05 03:54:39,3.4
5,2023:07:05 03:54:39,92.5
6,2023:07:05 03:54:39,896.8
7,2023:07:05 03:54:39,34.7
8,2023:07:05 03:54:39,289.9
9,2023:07:05 03:54:39,4.0
10,2023:07:05 03:54:39,67.6
1,2023:07:05 04:09:39,119.3
2,2023:07:05 04:09:39,274.5
3,2023:07:05 04:09:39,0.5
4,2023:07:05 04:09:39,4.4
5,2023:07:05 04:09:39,3.1
6,2023:07:05 04:09:39,2.5
7,2023:07:05 04:09:39,923.0
8,2023:07:05 04:09:39,0.0
9,2023:07:05 04:09:39,1.2
10,2023:07:05 04:09:39,59.9
1,2023:07:05 04:24:39,0.3
2,2023:07:05 04:24:39,3.9
3,2023:07:05 04:24:39,34.9
4,2023:07:05 04:24:39,129.7
5,2023:07:05 04:24:39,592.4
6,2023:07:05 04:24:39,99.3
7,2023:07:05 04:24:39,115.3
8,2023:07:05 04:24:39,63.4
9,2023:07:05 04:24:39,2.2
10,2023:07:05 04:24:39,133.8
1,2023:07:05 04:39:39,48.6
2,2023:07:05 04:39:39,98.9
3,2023:07:05 04:39:39,96.5
4,2023:07:05 04:39:39,834.2
5,2023:07:05 04:39:39,86.8
6,2023:07:05 04:39:39,119.1
7,2023:07:05 04:39:39,79.3
8,2023:07:05 04:39:39,677.6
9,2023:07:05 04:39:39,93.8
10,2023:07:05 04:39:39,243.3
1,2023:07:05 04:54:39,85.0
2,2023:07:05 04:54:39,110.1
3,2023:07:05 04:54:39,3.1
4,2023:07:05 04:54:39,490.8
5,2023:07:05 04:54:39,104.9
6,2023:07:05 04:54:39,665.2
7,2023:07:05 04:54:39,896.9
8,2023:07:05 04:54:39,950.3
9,2023:07:05 04:54:39,595.3
10,2023:07:05 04:54:39,17.1
1,2023:07:05 05:09:39,596.5
2,2023:07:05 05:09:39,134.3
3,2023:07:05 05:09:39,885.4
4,2023:07:05 05:09:39,204.3
5,2023:07:05 05:09:39,1.4
6,2023:07:05 05:09:39,559.7
7,2023:07:05 05:09:39,589.2
8,2023:07:05 05:09:39,35.3
9,2023:07:05 05:09:39,134.9
10,2023:07:05 05:09:39,658.0
1,2023:07:05 05:24:39,904.4
2,2023:07:05 05:24:39,108.5
3,2023:07:05 05:24:39,991.6
4,2023:07:05 05:24:39,690.2
5,2023:07:05 05:24:39,70.1
6,2023:07:05 05:24:39,704.5
7,2023:07:05 05:24:39,1.2
8,2023:07:05 05:24:39,2.4
9,2023:07:05 05:24:39,767.7
10,2023:07:05 05:24:39,792.9
1,2023:07:05 05:39:39,197.1
2,2023:07:05 05:39:39,808.5
3,2023:07:05 05:39:39,147.2
4,2023:07:05 05:39:39,612.3
5,2023:07:05 05:39:39,316.5
6,2023:07:05 05:39:39,70.4
7,2023:07:05 05:39:39,3.8
8,2023:07:05 05:39:39,844.2
9,2023:07:05 05:39:39,85.7
10,2023:07:05 05:39:39,938.0
1,2023:07:05 05:54:39,847.9
2,2023:07:05 05:54:39,96.0
3,2023:07:05 05:54:39,726.6
4,2023:07:05 05:54:39,111.5
5,2023:07:05 05:54:39,618.9
6,2023:07:05 05:54:39,946.6
7,2023:07:05 05:54:39,112.7
8,2023:07:05 05:54:39,3.0
9,2023:07:05 05:54:39,14.8
10,2023:07:05 05:54:39,148.0
1,2023:07:05 06:09:39,176.3
2,2023:07:05 06:09:39,131.6
3,2023:07:05 06:09:39,30.0
4,2023:07:05 06:09:39,853.1
5,2023:07:05 06:09:39,741.7
6,2023:07:05 06:09:39,57.8
7,2023:07:05 06:09:39,979.7
8,2023:07:05 06:09:39,646.1
9,2023:07:05 06:09:39,586.3
10,2023:07:05 06:09:39,679.4
1,2023:07:05 06:24:39,111.6
2,2023:07:05 06:24:39,27.6
3,2023:07:05 06:24:39,56.0
4,2023:07:05 06:24:39,654.9
5,2023:07:05 06:24:39,1.0
6,2023:07:05 06:24:39,988.2
7,2023:07:05 06:24:39,81.7
8,2023:07:05 06:24:39,941.9
9,2023:07:05 06:24:39,867.5
10,2023:07:05 06:24:39,1.9
1,2023:07:05 06:39:39,298.8
2,2023:07:05 06:39:39,96.7
3,2023:07:05 06:39:39,2.9
4,2023:07:05 06:39:39,629.2
5,2023:07:05 06:39:39,851.2
6,2023:07:05 06:39:39,924.8
7,2023:07:05 06:39:39,130.0
8,2023:07:05 06:39:39,311.2
9,2023:07:05 06:39:39,4.1
10,2023:07:05 06:39:39,834.8
1,2023:07:05 06:54:39,630.4
2,2023:07:05 06:54:39,898.2
3,2023:07:05 06:54:39,622.2
4,2023:07:05 06:54:39,581.5
5,2023:07:05 06:54:39,109.2
6,2023:07:05 06:54:39,135.9
7,2023:07:05 06:54:39,777.0
8,2023:07:05 06:54:39,386.7
9,2023:07:05 06:54:39,316.1
10,2023:07:05 06:54:39,112.7
1,2023:07:05 07:09:39,207.4
2,2023:07:05 07:09:39,127.5
3,2023:07:05 07:09:39,145.3
4,2023:07:05 07:09:39,339.3
5,2023:07:05 07:09:39,76.4
6,2023:07:05 07:09:39,93.7
7,2023:07:05 07:09:39,106.7
8,2023:07:05 07:09:39,69.4
9,2023:07:05 07:09:39,111.5
10,2023:07:05 07:09:39,142.8
1,2023:07:05 07:24:39,33.8
2,2023:07:05 07:24:39,75.5
3,2023:07:05 07:24:39,280.1
4,2023:07:05 07:24:39,41.9
5,2023:07:05 07:24:39,31.0
6,2023:07:05 07:24:39,126.0
7,2023:07:05 07:24:39,112.0
8,2023:07:05 07:24:39,88.8
9,2023:07:05 07:24:39,120.2
10,2023:07:05 07:24:39,48.4
1,2023:07:05 07:39:39,62.0
2,2023:07:05 07:39:39,63.8
3,2023:07:05 07:39:39,131.9
4,2023:07:05 07:39:39,164.9
5,2023:07:05 07:39:39,122.8
6,2023:07:05 07:39:39,115.5
7,2023:07:05 07:39:39,94.9
8,2023:07:05 07:39:39,142.6
9,2023:07:05 07:39:39,318.6
10,2023:07:05 07:39:39,317.0
1,2023:07:05 07:54:39,147.8
2,2023:07:05 07:54:39,74.0
3,2023:07:05 07:54:39,105.1
4,2023:07:05 07:54:39,97.2
5,2023:07:05 07:54:39,18.8
6,2023:07:05 07:54:39,28.0
7,2023:07:05 07:54:39,122.0
8,2023:07:05 07:54:39,336.2
9,2023:07:05 07:54:39,12.7
10,2023:07:05 07:54:39,20.9
1,2023:07:05 08:09:39,260.6
2,2023:07:05 08:09:39,133.6
3,2023:07:05 08:09:39,67.8
4,2023:07:05 08:09:39,57.9
5,2023:07:05 08:09:39,340.2
6,2023:07:05 08:09:39,309.8
7,2023:07:05 08:09:39,20.9
8,2023:07:05 08:09:39,368.0
9,2023:07:05 08:09:39,38.8
10,2023:07:05 08:09:39,147.6
1,2023:07:05 08:24:39,141.0
2,2023:07:05 08:24:39,138.2
3,2023:07:05 08:24:39,301.1
4,2023:07:05 08:24:39,14.9
5,2023:07:05 08:24:39,44.2
6,2023:07:05 08:24:39,132.1
7,2023:07:05 08:24:39,75.0
8,2023:07:05 08:24:39,252.7
9,2023:07:05 08:24:39,122.5
10,2023:07:05 08:24:39,124.2
1,2023:07:05 08:39:39,82.1
2,2023:07:05 08:39:39,107.8
3,2023:07:05 08:39:39,183.6
4,2023:07:05 08:39:39,71.9
5,2023:07:05 08:39:39,33.0
6,2023:07:05 08:39:39,61.3
7,2023:07:05 08:39:39,77.0
8,2023:07:05 08:39:39,82.6
9,2023:07:05 08:39:39,227.6
10,2023:07:05 08:39:39,22.1
1,2023:07:05 08:54:39,403.2
2,2023:07:05 08:54:39,99.9
3,2023:07:05 08:54:39,162.4
4,2023:07:05 08:54:39,61.0
5,2023:07:05 08:54:39,126.5
6,2023:07:05 08:54:39,134.4
7,2023:07:05 08:54:39,101.7
8,2023:07:05 08:54:39,104.7
9,2023:07:05 08:54:39,242.1
10,2023:07:05 08:54:39,15.8
1,2023:07:05 09:09:39,72.0
2,2023:07:05 09:09:39,87.2
3,2023:07:05 09:09:39,162.4
4,2023:07:05 09:09:39,141.2
5,2023:07:05 09:09:39,32.3
6,2023:07:05 09:09:39,109.8
7,2023:07:05 09:09:39,25.1
8,2023:07:05 09:09:39,130.3
9,2023:07:05 09:09:39,104.7
10,2023:07:05 09:09:39,71.4
1,2023:07:05 09:24:39,122.0
2,2023:07:05 09:24:39,72.9
3,2023:07:05 09:24:39,116.5
4,2023:07:05 09:24:39,366.5
5,2023:07:05 09:24:39,69.7
6,2023:07:05 09:24:39,74.8
7,2023:07:05 09:24:39,217.1
8,2023:07:05 09:24:39,143.6
9,2023:07:05 09:24:39,145.3
10,2023:07:05 09:24:39,115.7
1,2023:07:05 09:39:39,134.4
2,2023:07:05 09:39:39,127.9
3,2023:07:05 09:39:39,319.9
4,2023:07:05 09:39:39,71.8
5,2023:07:05 09:39:39,387.1
6,2023:07:05 09:39:39,229.6
7,2023:07:05 09:39:39,65.4
8,2023:07:05 09:39:39,135.6
