id,time,value
5,2023:07:04 18:09:31,902.1
1,2023:07:04 18:09:51,3.4
3,2023:07:04 18:09:51,4.5
4,2023:07:04 18:10:11,559.4
2,2023:07:04 18:10:31,960.2
5,2023:07:04 18:10:31,553.2
1,2023:07:04 18:11:11,2.7
4,2023:07:04 18:11:11,1.3
1,2023:07:04 18:11:31,983.9
4,2023:07:04 18:11:31,795.1
1,2023:07:04 18:11:51,583.3
2,2023:07:04 18:11:51,718.1
3,2023:07:04 18:12:11,1.0
4,2023:07:04 18:12:11,4.9
1,2023:07:04 18:12:31,3.8
3,2023:07:04 18:12:31,741.4
4,2023:07:04 18:12:31,773.5
1,2023:07:04 18:12:51,761.1
3,2023:07:04 18:12:51,718.2
5,2023:07:04 18:12:51,953.3
2,2023:07:04 18:13:11,607.8
3,2023:07:04 18:13:11,551.7
1,2023:07:04 18:13:31,887.3
4,2023:07:04 18:13:51,568.9
2,2023:07:04 18:14:11,3.4
3,2023:07:04 18:14:11,710.0
3,2023:07:04 18:14:31,599.9
4,2023:07:04 18:14:31,950.5
1,2023:07:04 18:14:51,627.6
2,2023:07:04 18:14:51,812.2
5,2023:07:04 18:14:51,667.6
3,2023:07:04 18:15:11,774.7
4,2023:07:04 18:15:11,757.9
4,2023:07:04 18:15:31,815.2
1,2023:07:04 18:15:51,647.6
3,2023:07:04 18:15:51,812.9
2,2023:07:04 18:16:11,808.9
5,2023:07:04 18:16:11,926.0
1,2023:07:04 18:16:31,936.7
2,2023:07:04 18:16:31,809.8
3,2023:07:04 18:16:31,970.1
4,2023:07:04 18:16:31,941.2
1,2023:07:04 18:16:51,581.2
2,2023:07:04 18:16:51,781.8
4,2023:07:04 18:16:51,958.6
1,2023:07:04 18:17:11,591.9
3,2023:07:04 18:17:31,4.6
1,2023:07:04 18:18:11,849.3
2,2023:07:04 18:18:11,867.1
2,2023:07:04 18:18:31,648.3
number of outliers: 50
